Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,14.64,0.0,2.7498317351171653,1.9300710850255671,1.7984040119467237,1.415853163361435,RPG Dominance,0.20027711637542542
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,14.64,0.0,2.7498317351171653,2.367436065313662,1.5539252025038417,0.10436001532424277,Shooter Boom,0.08154978902385981
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,14.349999999999998,1.7763568394002505e-15,2.731115474033206,1.8196988379172965,1.6193882432872684,1.6752256529721035,Post-Peak,0.20027711637542542
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,14.239999999999998,1.7763568394002505e-15,2.7239235502585,1.9125010869241836,1.918392120161421,0.30010459245033805,Post-Peak,0.08154978902385981
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,14.040000000000001,-0.010000000000001563,2.710048203764883,1.790091412127358,1.9286186519452522,0.5007752879124893,Post-Peak,0.08154978902385981
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,13.740000000000002,-0.010000000000001563,2.689886230474539,2.224623551524334,1.667706820558076,0.06765864847381481,Post-Peak,0.08154978902385981
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,13.52,-0.009999999999999787,2.6748380668960965,2.253394848803274,1.5325568680981427,0.07696104113612832,Shooter Boom,0.08154978902385981
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,13.469999999999999,-0.00999999999999801,2.671386216730619,1.8779371654691073,1.9198594718553708,0.3987761199573678,Shooter Boom,0.08154978902385981
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,13.100000000000001,-1.7763568394002505e-15,2.6461747973841225,2.0781907597781832,1.706564623164823,0.26236426446749106,Transition,0.04478927048441557
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,13.04,0.0,2.641910398597665,2.0476928433652555,1.2837077723447896,1.297463147413275,Shooter Boom,0.20027711637542542
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,12.730000000000002,-1.7763568394002505e-15,2.6195832197798796,1.943048916774281,1.6937790608678513,0.3920420877760237,Shooter Boom,0.08154978902385981
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,12.280000000000001,-0.010000000000001563,2.5855058483441162,1.2669476034873244,1.5085119938441398,1.8453002361560848,Shooter Boom,0.20027711637542542
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,12.21,0.0,2.580974118534234,1.747459210331475,1.5912739418064292,1.3001916620664788,Shooter Boom,0.20027711637542542
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,12.14,0.0,2.5756610130564646,2.1938856760707046,1.3428648031925547,0.12221763272424921,Shooter Boom,0.027553573590540375
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,11.989999999999998,-0.00999999999999801,2.563409711275944,1.5686159179138452,1.918392120161421,0.3074846997479606,Post-Peak,0.04478927048441557
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,11.899999999999999,1.7763568394002505e-15,2.5572273113676265,1.6863989535702286,1.3270750014599193,1.601405740736836,Shooter Boom,0.20027711637542542
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,11.9,-0.009999999999999787,2.556451816951096,2.0681277817795625,1.3480731482996928,1.068153081183401,RPG Dominance,0.20027711637542542
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,11.649999999999999,0.010000000000001563,2.5384474167160302,1.3887912413184778,0.009950330853168083,0.7419373447293773,Transition,0.06810202187336051
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,11.52,0.0,2.5273273656719524,1.9685099809725544,1.4816045409242156,0.7884573603642702,Shooter Boom,0.20027711637542542
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11.33,0.0,2.512035317176253,1.6544112780768316,1.4747630091074988,1.4060969884160703,Post-Peak,0.20027711637542542
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,11.179999999999998,1.7763568394002505e-15,2.4997952622817508,1.9685099809725544,1.1118575154181303,1.3056264580524357,RPG Dominance,0.20027711637542542
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,11.03,-0.009999999999999787,2.4865719291070616,2.048982334195127,1.410986973710262,0.1310282624064041,Shooter Boom,0.04478927048441557
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,10.95,0.0,2.4807312783775197,1.6134299337036377,1.5830939370944985,1.264126727145683,RPG Dominance,0.06810202187336051
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,10.79,0.0,2.4672517145492794,1.7732559976634952,1.3837912309017721,1.1410330045520618,Shooter Boom,0.20027711637542542
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,10.77,0.0,2.4655539212721855,1.3762440252663892,1.7715567619105355,0.5933268452777344,Shooter Boom,0.06810202187336051
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,10.690000000000001,-1.7763568394002505e-15,2.458733775483977,1.790091412127358,1.545432582458188,0.32208349916911333,Shooter Boom,0.08154978902385981
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,10.579999999999998,-0.00999999999999801,2.448415541205585,1.7509374747077997,1.5602476682433286,0.36464311358790924,Shooter Boom,0.04478927048441557
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,10.55,0.0,2.446685436967803,1.9444805562457188,1.1474024528375417,1.1378330018213911,RPG Dominance,0.20027711637542542
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,10.49,0.0,2.4414770918606643,1.6752256529721035,1.2947271675944,1.423108334242607,Transition,0.20027711637542542
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,10.42,0.0,2.435366204227864,1.8050046959780757,1.4134230285081433,0.8109302162163288,Transition,0.20027711637542542
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,10.27,-0.009999999999999787,2.421256622711544,1.9530276168241771,1.423108334242607,0.0,Shooter Boom,0.053217105882669466
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,10.209999999999999,1.7763568394002505e-15,2.4168062370840686,2.0438143640366846,1.2892326482767593,0.039220713153281295,Post-Peak,0.08154978902385981
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,9.87,0.010000000000001563,2.3869262414277967,2.0831845279586703,1.091923300517313,0.07696104113612832,Shooter Boom,0.027553573590540375
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,9.870000000000001,-1.7763568394002505e-15,2.386006701133118,1.8794650496471605,1.0784095813505903,1.172482137234565,RPG Dominance,0.20027711637542542
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,9.830000000000002,-0.010000000000001563,2.3813962734183356,1.5390154481375546,1.4036429994545037,1.244154593958768,Post-Peak,0.20027711637542542
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,9.76,0.0,2.3758355547336385,2.0320878452963655,1.2119409739751128,0.039220713153281295,Post-Peak,0.027553573590540375
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.719999999999999,1.7763568394002505e-15,2.372111155642656,1.3887912413184778,1.244154593958768,1.4539530095937054,RPG Dominance,0.06810202187336051
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,9.580000000000002,0.00999999999999801,2.359910159613315,1.6272778305624314,1.5539252025038417,0.32208349916911333,Post-Peak,0.08154978902385981
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,9.52,0.0,2.3532782073095637,1.922787731634459,1.358409157630355,0.009950330853168083,Shooter Boom,0.053217105882669466
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.49,0.0,2.3504224224082058,1.5851452198650557,1.4861396960896067,0.9895411936137477,RPG Dominance,0.06810202187336051
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,9.32,0.0,2.334083760053417,1.9329696377795786,1.2178757094949273,0.12221763272424921,Shooter Boom,0.08154978902385981
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,9.3,0.0,2.33214389523559,1.6789639750827106,0.9969486348916095,1.3862943611198906,RPG Dominance,0.20027711637542542
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,9.2,0.0,2.322387720290225,1.884034745337226,1.3428648031925547,0.019802627296179712,Post-Peak,0.027553573590540375
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9.100000000000001,-0.010000000000001563,2.3115448343655176,1.1019400787607843,1.199964782928397,1.6789639750827106,Post-Peak,0.20027711637542542
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,9.02,0.0,2.3045830956567186,1.6974487897568138,1.0577902941478545,1.091923300517313,Shooter Boom,0.20027711637542542
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.84,0.0,2.286455711064162,1.7967470107390942,1.3506671834767394,0.09531017980432487,Shooter Boom,0.009208065969840052
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,8.77,-0.009999999999999787,2.278292400425001,1.5129270120532565,0.8064758658669485,1.5706970841176697,RPG Dominance,0.20027711637542542
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,8.49,0.0,2.2502386126218363,0.7466879474879752,1.9544450515051506,0.058268908123975775,Post-Peak,0.12446919658671544
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,8.49,0.0,2.2502386126218363,1.0260415958332743,1.5107219394949427,1.2499017362143359,Shooter Boom,0.20027711637542542
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8.48,0.009999999999999787,2.2502386126218363,2.05668455455722,0.9282193027394289,0.04879016416943201,Transition,0.027553573590540375
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,8.42,0.0,2.2428350885882717,1.5706970841176697,1.1939224684724346,0.9477893989335261,Shooter Boom,0.20027711637542542
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,8.34,-0.009999999999999787,2.2332350148592526,1.3635373739972745,1.0508216248317612,1.420695787837223,Post-Peak,0.20027711637542542
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,8.25,-0.009999999999999787,2.2235418856535927,0.7227059828014898,1.80005827204275,0.12221763272424921,Post-Peak,0.12446919658671544
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,8.11,0.0,2.209372711271867,0.6830968447064438,2.004179057179289,0.0,Shooter Boom,0.12446919658671544
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,8.09,0.0,2.2071749081893874,1.916922612182061,1.1019400787607843,0.12221763272424921,RPG Dominance,0.20027711637542542
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,8.05,0.009999999999999787,2.203869120054888,1.275362800412609,1.589235205116581,0.5068176023684519,Shooter Boom,0.030602750536969026
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.040000000000001,0.009999999999999787,2.2027647577118348,1.3635373739972745,1.1216775615991057,1.3164082336557241,Transition,0.06810202187336051
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,7.86,0.0,2.1815467646169897,1.1878434223960523,1.000631880307906,1.5325568680981427,RPG Dominance,0.006462685697118079
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,7.839999999999999,8.881784197001252e-16,2.179286876649552,1.3402504226184837,1.0224509277025458,1.3056264580524357,Shooter Boom,0.20027711637542542
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.8100000000000005,-8.881784197001252e-16,2.175887439948088,2.1138429683971682,0.37156355643248307,0.0,Early Emergence,0.01762469115873208
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.720000000000001,-8.881784197001252e-16,2.1656192379208883,1.3609765531356006,1.3428648031925547,0.2151113796169455,Shooter Boom,0.04478927048441557
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,7.7,-0.009999999999999787,2.162172939277301,1.5390154481375546,1.2296405510745139,0.6830968447064438,Shooter Boom,0.20027711637542542
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,7.67,0.0,2.1598687907924505,1.3686394258811698,1.4562867329399256,0.1988508587451652,Post-Peak,0.12446919658671544
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,7.609999999999999,-0.009999999999999787,2.151762203259462,1.33500106673234,1.4586150226995167,0.1310282624064041,Post-Peak,0.08154978902385981
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,7.6,0.0,2.151762203259462,1.62924053973028,1.0612565021243408,0.8960880245566356,RPG Dominance,0.20027711637542542
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.569999999999999,0.010000000000000675,2.149433913499871,1.5644405465033646,1.1537315878891892,0.8372475245337022,RPG Dominance,0.06810202187336051
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.46,0.0,2.135349173618132,1.8547342683894434,0.7793248768009976,0.5306282510621704,Early Emergence,0.20027711637542542
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,7.4399999999999995,0.010000000000000675,2.1341664413690826,1.4445632692438664,0.8544153281560676,1.2296405510745139,Post-Peak,0.20027711637542542
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,7.379999999999999,-0.009999999999998899,2.124653884501384,1.7561322915849038,1.0647107369924282,0.0,Shooter Boom,0.08154978902385981
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,7.34,0.0,2.1210632163706555,1.6974487897568138,1.1410330045520618,0.058268908123975775,Shooter Boom,0.12446919658671544
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,7.319999999999999,-0.009999999999999787,2.1174596088673567,1.5748464676644813,1.1600209167967532,0.4700036292457356,Shooter Boom,0.20027711637542542
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,7.289999999999999,0.010000000000000675,2.1162555148025524,1.7083778602890038,1.128171090909654,0.009950330853168083,Post-Peak,0.08154978902385981
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,7.27,0.0,2.1126345090356,1.5062971535145868,1.3937663759585917,0.0,Shooter Boom,0.053217105882669466
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,7.23,0.0,2.1077860146889784,1.3480731482996928,1.3686394258811698,0.30010459245033805,Shooter Boom,0.12446919658671544
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7.199999999999999,8.881784197001252e-16,2.1041341542702074,1.4516138272405332,1.3428648031925547,0.07696104113612832,Transition,0.12446919658671544
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,7.180000000000001,-0.020000000000000462,2.0992441689760155,1.4516138272405332,1.169381359556317,0.8754687373538999,RPG Dominance,0.06810202187336051
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,7.13,0.0,2.0955609235597192,1.5432981099295553,1.0116009116784799,0.8837675401685949,RPG Dominance,0.06810202187336051
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,7.06,0.010000000000000675,2.0881534822818573,1.6882490928583902,0.712949807856125,0.8712933659434192,Transition,0.20027711637542542
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,6.959999999999999,8.881784197001252e-16,2.0744289998562917,1.4182774069729414,1.1216775615991057,0.8197798314933114,Post-Peak,0.20027711637542542
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,6.960000000000001,-8.881784197001252e-16,2.0744289998562917,1.244154593958768,1.423108334242607,0.2151113796169455,Post-Peak,0.009208065969840052
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,6.950000000000001,-8.881784197001252e-16,2.0731719286662407,1.6331544390514163,1.0188473201992472,0.6259384308664953,Transition,0.20027711637542542
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,6.91,0.0,2.0681277817795625,1.6370530794670737,1.1662709371419244,0.0,Post-Peak,0.053217105882669466
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,6.9,0.0,2.066862759472976,0.5766133643039938,1.6714733033535532,0.06765864847381481,Post-Peak,0.12446919658671544
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,6.9,0.0,2.066862759472976,1.3110318766193438,1.3912819026309298,0.07696104113612832,Transition,0.12446919658671544
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,6.84,-0.009999999999999787,2.057962510002712,1.3686394258811698,1.3217558399823195,0.15700374880966475,Transition,0.12446919658671544
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,6.82,0.009999999999999787,2.057962510002712,1.3270750014599193,1.33500106673234,0.173953307123438,Shooter Boom,0.06810202187336051
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,6.819999999999999,8.881784197001252e-16,2.05668455455722,1.4422019930581866,1.208960345836975,0.6626879730752367,RPG Dominance,0.06810202187336051
